ID,date,endVZA,LAI_LXG1,baseline_LAI,LAI_LXG1_nowood
LT34,2024-09-30,20,6.046153846153846,1.1304347826086956,4.915719063545151
LT34,2024-09-30,30,5.196969696969697,0.94,4.256969696969698
LT34,2024-09-30,40,4.552238805970148,0.9444444444444444,3.6077943615257038
LT34,2024-09-30,50,4.042857142857144,0.9285714285714285,3.114285714285715
LT34,2024-09-30,60,3.73972602739726,0.819672131147541,2.920053896249719
LT34,2024-09-30,70,3.6388888888888893,0.8,2.8388888888888895
LT34,2024-09-30,80,3.3561643835616444,0.8059701492537313,2.550194234307913
LT34,2024-09-30,90,2.945945945945946,0.7536231884057972,2.1923227575401487
LT31,2024-09-30,10,6.914285714285715,1.0588235294117647,5.85546218487395
LT31,2024-09-30,20,4.4603174603174605,1.0196078431372548,3.4407096171802056
LT31,2024-09-30,30,4,1.2448979591836735,2.7551020408163263
LT31,2024-09-30,40,3.8513513513513513,1.1923076923076923,2.6590436590436592
LT31,2024-09-30,50,3.7066666666666666,1.0517241379310345,2.6549425287356323
LT31,2024-09-30,60,3.6538461538461537,1.15,2.503846153846154
LT31,2024-09-30,70,3.4567901234567895,1.2833333333333334,2.1734567901234563
LT31,2024-09-30,80,3.4155844155844153,1.2153846153846155,2.2001998001997998
LT31,2024-09-30,90,2.974358974358974,1.121212121212121,1.853146853146853
LT43,2024-09-30,10,7.538461538461538,1.111111111111111,6.427350427350428
LT43,2024-09-30,20,6,1.4545454545454544,4.545454545454546
LT43,2024-09-30,30,4.939393939393939,1.1282051282051282,3.8111888111888104
LT43,2024-09-30,40,4.130434782608696,0.82,3.3104347826086964
LT43,2024-09-30,50,3.757142857142857,0.7454545454545454,3.011688311688312
LT43,2024-09-30,60,3.394366197183099,0.7457627118644068,2.6486034853186924
LT43,2024-09-30,70,3.095890410958904,0.8135593220338984,2.2823310889250057
LT43,2024-09-30,80,2.8266666666666667,0.7903225806451613,2.036344086021505
LT43,2024-09-30,90,2.4050632911392404,0.75,1.6550632911392404
LT42,2024-09-30,10,5.551020408163266,8.314814814814815,0
LT42,2024-09-30,20,4.326530612244898,5.711538461538462,0
LT42,2024-09-30,30,3.2758620689655173,4.416666666666667,0
LT42,2024-09-30,40,3.090909090909091,3.2941176470588234,0
LT42,2024-09-30,50,2.943661971830986,2.6346153846153846,0.3090465872156014
LT42,2024-09-30,60,2.7916666666666665,2.0350877192982457,0.7565789473684208
LT42,2024-09-30,70,2.684931506849315,1.7000000000000002,0.984931506849315
LT42,2024-09-30,80,2.5405405405405403,1.4603174603174605,1.08022308022308
LT42,2024-09-30,90,2.236842105263158,1.28125,0.955592105263158
LT44,2024-09-30,10,4.322580645161291,0.40909090909090906,3.9134897360703818
LT44,2024-09-30,20,3.895522388059701,0.5277777777777778,3.3677446102819233
LT44,2024-09-30,30,3.585714285714286,0.6666666666666667,2.9190476190476193
LT44,2024-09-30,40,3.704225352112676,0.8222222222222222,2.882003129890454
LT44,2024-09-30,50,3.5263157894736845,0.8076923076923076,2.718623481781377
LT44,2024-09-30,60,3.4133333333333336,0.7758620689655173,2.637471264367816
LT44,2024-09-30,70,3.2207792207792205,0.7704918032786885,2.4502874175005322
LT44,2024-09-30,80,3.0379746835443036,0.7777777777777778,2.260196905766526
LT44,2024-09-30,90,2.7341772151898733,0.75,1.9841772151898733
LT41,2024-09-30,10,3.728813559322034,0.19999999999999998,3.528813559322034
LT41,2024-09-30,20,4.463768115942029,0.40816326530612246,4.055604850635907
LT41,2024-09-30,30,4.571428571428572,0.6153846153846154,3.9560439560439566
LT41,2024-09-30,40,4.338028169014085,1.1153846153846152,3.22264355362947
LT41,2024-09-30,50,4.305555555555556,1.4339622641509433,2.871593291404613
LT41,2024-09-30,60,4.054794520547945,1.5357142857142856,2.51908023483366
LT41,2024-09-30,70,3.688311688311688,1.6034482758620692,2.084863412449619
LT41,2024-09-30,80,3.423076923076923,1.540983606557377,1.882093316519546
LT41,2024-09-30,90,2.925925925925926,1.34375,1.582175925925926
LT53,2024-09-30,10,7.0249999999999995,0.4545454545454546,6.570454545454545
LT53,2024-09-30,20,4.927272727272727,0.6666666666666667,4.26060606060606
LT53,2024-09-30,30,4.650793650793651,0.5660377358490566,4.084755914944594
LT53,2024-09-30,40,4.128571428571429,0.5593220338983051,3.5692493946731236
LT53,2024-09-30,50,3.6,0.564516129032258,3.035483870967742
LT53,2024-09-30,60,3.1999999999999997,0.5757575757575757,2.624242424242424
LT53,2024-09-30,70,3,0.6176470588235293,2.3823529411764706
LT53,2024-09-30,80,2.738095238095238,0.6617647058823529,2.0763305322128853
LT53,2024-09-30,90,2.464285714285714,0.6376811594202899,1.826604554865424
LT52,2024-09-30,10,2.652173913043478,0.36363636363636365,2.2885375494071143
